type,name,latitude,longitude,city
heliport,Collegeville Heliport,40.162899017334,-75.4656982421875,Collegeville
heliport,M.P. Metals Heliport,41.066861,-76.180806,Berwick
small_airport,Sun View Field Airport,39.065947,-94.921703,Bonner Springs
closed,Ziggy's Field,40.849998,-77.905602,Bellefonte
small_airport,Sandy River Airport,45.401798248291,-122.228996276855,Sandy
heliport,Seacoast Medical Center Heliport,33.8650016784668,-78.6619033813477,Little River
closed,Gay Hill Farm Airport,30.262699,-96.500198,Gay Hill
small_airport,Barronena Ranch Airport,27.4911003112793,-98.6695022583008,Hebbronville
heliport,Eagles Landing Heliport,35.9225006103516,-83.5793991088867,Sevierville
heliport,Shannon Medical Center Heliport,31.4598999023437,-100.438003540039,San Angelo
heliport,M D K Field,29.581600189209,-95.3071975708008,Pearland
small_airport,A Z Minerals Corporation Airport,37.1208000183105,-109.986000061035,Mexican Hat
closed,Whipoorwill Springs Airport,38.6646003723145,-77.5796966552734,Nokesville
small_airport,Spangle Field,47.4081993103027,-117.372001647949,Spangle
small_airport,Zink Airport,44.028873,-88.883945,Berlin
small_airport,Aerostone Ranch Airport,45.875,-120.669998168945,Goldendale
small_airport,Creekside Airport,31.3180999755859,-100.753997802734,Mertzon
small_airport,Phil's Airport,60.535833,-150.811387,Soldotna
heliport,Anniston AHP (Anniston Army Depot),33.62639999,-85.96720123,Anniston
heliport,Saline Memorial Hospital Heliport,34.574319,-92.586047,Benton
small_airport,Chinle Airport,36.1542015075684,-109.551002502441,Chinle
small_airport,Gray Butte Field,34.5639,-117.675003,Palmdale
small_airport,Hunt's Sky Ranch Airport,33.0816993713379,-116.44100189209,Julian
heliport,Shingle Mill Heliport,41.7551002502441,-73.0523986816406,Harwinton
closed,De Leon Municipal Airport,32.098801,-98.525325,De Leon
small_airport,Richards Field,25.5587005615234,-80.5150985717773,Homestead
heliport,Tampa General Hospital Brandon Healthplex Heliport,27.929372,-82.336981,Brandon
small_airport,Cross Creek Farms Airport,29.2394008636475,-81.2220001220703,Ormond
small_airport,Columbus Southwest Airport,39.9112014770508,-83.1887969970703,Columbus
small_airport,Middlekoop Airport,41.0882987976074,-92.0546035766602,Packwood
small_airport,Lanham Field,43.8777008056641,-116.537002563477,Emmett
small_airport,Turkey Run Airport,41.1305999755859,-84.9941024780273,New Haven
small_airport,Schertz Aerial Service - Hudson Airport,40.6375007629,-89.0070037842,Hudson
seaplane_base,Lake Gage Seaplane Base,41.701389,-85.113056,Angola
small_airport,Van Gorder Airport,40.1786003112793,-88.5690002441406,Mansfield
heliport,Robinson Industries Heliport,38.9789009094238,-95.2197036743164,Lawrence
small_airport,Natchez Trace Farm Airport,37.1351013183594,-85.7893981933594,Hiseville
heliport,St James Heliport,30.051111,-90.702222,Lutcher
small_airport,Brunner Airport,42.136100769043,-88.28759765625,West Dundee
heliport,La National Guard Heliport,30.4461002349854,-91.1053009033203,Baton Rouge
closed,Goddard Field (Airport),42.8097991943,-71.1391983032,Haverhill
heliport,Chesapeake City Heliport,39.5181007385254,-75.821403503418,Chesapeake City
small_airport,Beech Hill Airport,44.6666984558105,-69.8938980102539,Mercer
small_airport,Rapids Airway Airport,42.5345001220703,-84.628303527832,Eaton Rapids
small_airport,Helblad Airport,47.9858016967773,-94.686897277832,Kelliher
small_airport,Airpark Private Airport,39.3012008666992,-91.4514999389649,Vandalia
small_airport,Nick's Flying Service Inc Airport,32.9396018982,-90.8373031616,Rolling Fork
small_airport,Pluhar Airport,47.1374977778,-106.488095,Cohagen
heliport,Western Wake Medical Center Heliport,35.739200592,-78.7822036743,Cary
small_airport,Mc Connell Field Airport,41.1599998474,-101.299003601,Sarben
small_airport,Emmanuel Airport,39.5968017578,-75.2334976196,Elmer
small_airport,Kingston Ranch Airport,35.7555007935,-115.665000916,Sandy Valley
small_airport,Klaverack Airport,42.262298584,-73.6961975098,Hudson
heliport,Teufel Heliport,45.530833,-123.085556,Forest Grove
closed,Bossow Airport,41.2477,-81.100701,Garrettsville
